"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"1" 28.1 30.1 28.7 30.9 31.3 29.9 33.8 33 32.8 34.2 33.8 30.9 27.6 28.3 29.4 28.4 29.7 31.4 27.1 29.3 26.5 26.9 28.6 32.8 30.7 24.8
"2" 28.7 30.9 32.8 28.3 30.1 27.6 24.8 28.1 30.7 29.9 34.2 28.4 26.5 26.9 29.7 33 29.3 29.4 31.3 31.4 33.8 28.6 30.9 32.8 27.1 33.8
"3" 34.2 28.7 26.5 27.6 26.9 32.8 33.8 31.4 27.1 28.4 31.3 30.1 29.3 32.8 33 29.9 24.8 28.6 28.1 28.3 30.9 33.8 30.7 29.7 30.9 29.4
"4" 24.8 33 33.8 28.6 29.7 29.9 27.6 28.7 28.1 31.4 28.3 26.5 34.2 31.3 32.8 29.4 30.9 30.7 28.4 32.8 29.3 30.9 26.9 27.1 30.1 33.8
"5" 29.4 31.4 28.6 30.9 29.9 34.2 32.8 30.7 28.1 31.3 28.3 26.5 27.6 32.8 33.8 24.8 33 30.9 33.8 30.1 28.7 29.3 27.1 26.9 29.7 28.4
"6" 33.8 26.5 29.4 29.3 28.1 27.1 24.8 30.9 29.9 33.8 32.8 34.2 28.6 30.1 26.9 31.3 30.9 33 28.3 30.7 28.7 32.8 29.7 31.4 27.6 28.4
"7" 26.5 29.4 30.9 33.8 29.7 26.9 33.8 33 30.7 29.3 29.9 34.2 30.9 31.4 27.1 31.3 28.4 28.6 30.1 28.3 28.1 32.8 27.6 28.7 24.8 32.8
"8" 27.6 28.1 33.8 30.9 32.8 30.1 31.3 30.9 26.5 28.7 26.9 29.3 29.9 33.8 30.7 31.4 28.6 34.2 24.8 28.3 32.8 29.4 29.7 33 28.4 27.1
"9" 27.1 33.8 33.8 32.8 30.9 32.8 26.9 26.5 34.2 28.6 30.9 27.6 31.4 29.9 28.7 31.3 28.3 30.1 24.8 30.7 29.7 28.1 29.4 33 28.4 29.3
"10" 28.3 28.6 27.6 26.5 26.9 33.8 29.4 28.1 31.4 30.9 27.1 32.8 30.1 33 29.3 29.7 32.8 30.9 28.4 30.7 33.8 28.7 34.2 24.8 29.9 31.3
"11" 24.8 26.9 29.9 30.9 30.9 26.5 31.3 28.4 28.7 30.7 32.8 34.2 32.8 28.6 31.4 28.1 28.3 33.8 33.8 29.7 30.1 29.4 27.6 29.3 27.1 33
"12" 26.9 33.8 34.2 29.7 33 28.4 28.3 24.8 27.1 31.4 29.4 31.3 28.6 32.8 33.8 29.3 26.5 28.7 27.6 30.1 32.8 30.7 30.9 28.1 29.9 30.9
"13" 29.3 30.7 26.5 30.9 29.4 31.4 32.8 27.6 32.8 28.3 30.1 33.8 33.8 28.6 28.7 28.4 31.3 33 27.1 30.9 29.7 34.2 26.9 28.1 29.9 24.8
