"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"1" 27.2 29.9 28.2 27.7 28.5 26.8 24.9 29.3 31.6 29.3 27.1 24.1 28.5 26.7 25.5 27.4 30 26 28.1 27.7 31.1 31.8 30.2
"2" 25.5 30 31.8 29.3 27.7 29.9 30.2 26 27.1 28.5 27.4 28.2 26.7 31.6 29.3 24.9 26.8 28.1 31.1 28.5 27.2 27.7 24.1
"3" 31.6 24.1 31.8 30.2 26 27.4 26.7 28.5 31.1 28.1 27.1 28.2 27.7 30 25.5 29.9 29.3 24.9 27.7 27.2 28.5 26.8 29.3
"4" 30 27.1 27.2 26 29.3 28.5 31.8 31.1 28.5 31.6 28.1 29.9 27.7 27.7 25.5 26.7 24.1 26.8 28.2 27.4 29.3 24.9 30.2
"5" 26 24.1 28.5 28.2 27.4 24.9 26.7 30.2 30 28.5 25.5 27.2 27.7 31.6 27.7 28.1 29.9 29.3 31.8 29.3 26.8 31.1 27.1
"6" 28.5 28.5 27.7 29.9 31.1 24.1 26.7 27.7 28.2 26 31.6 30 26.8 27.1 25.5 27.2 30.2 27.4 31.8 29.3 29.3 28.1 24.9
"7" 28.1 28.2 27.7 24.9 24.1 29.9 30.2 29.3 27.4 28.5 29.3 27.2 31.1 26.8 26.7 30 26 27.7 31.6 31.8 28.5 27.1 25.5
"8" 24.1 29.9 31.1 29.3 31.8 30 28.1 28.2 26.8 29.3 30.2 31.6 27.1 27.7 26 26.7 27.7 28.5 28.5 24.9 27.4 25.5 27.2
"9" 27.2 26.7 30.2 25.5 31.6 31.1 28.1 26 28.2 24.9 24.1 27.4 31.8 30 26.8 28.5 29.9 27.7 27.7 29.3 27.1 28.5 29.3
"10" 27.7 28.5 24.1 28.5 26.7 27.7 31.6 31.1 29.3 28.2 30.2 26 27.2 30 27.4 27.1 29.9 24.9 26.8 29.3 28.1 31.8 25.5
"11" 29.3 29.9 26.8 27.7 28.5 25.5 27.1 28.1 31.6 31.1 24.1 30 30.2 28.5 27.2 26 28.2 26.7 27.4 29.3 27.7 31.8 24.9
