1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	Total	%	Activity
1.00	-0.33	1.00	1.00	-0.33	-0.33	-0.33	-0.33	1.00	-0.33	1.00	-0.33	1.00	0.00	0.00	3.67	24.44%	50
1.00	-0.33	1.00	1.00	-0.33	1.00	0.00	-0.33	-0.33	0.00	-0.33	1.00	1.00	0.00	0.00	4.33	28.89%	1
1.00	0.00	-0.33	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	12.67	84.44%	94
-0.33	-0.33	1.00	1.00	0.00	1.00	1.00	-0.33	-0.33	0.00	1.00	-0.33	0.00	-0.33	-0.33	2.67	17.78%	96
1.00	-0.33	1.00	1.00	1.00	1.00	-0.33	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	12.33	82.22%	2
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	15.00	100.00%	119
1.00	-0.33	1.00	1.00	-0.33	1.00	1.00	1.00	-0.33	-0.33	1.00	1.00	-0.33	1.00	-0.33	7.00	46.67%	35
-0.33	-0.33	1.00	1.00	0.00	1.00	-0.33	1.00	-0.33	0.00	0.00	0.00	0.00	0.00	0.00	2.67	17.78%	14
-0.33	-0.33	1.00	1.00	1.00	1.00	-0.33	-0.33	-0.33	1.00	1.00	1.00	1.00	-0.33	-0.33	5.67	37.78%	85
1.00	-0.33	1.00	1.00	0.00	-0.33	-0.33	-0.33	1.00	0.00	0.00	1.00	0.00	0.00	1.00	4.67	31.11%	8
-0.33	-0.33	1.00	1.00	1.00	1.00	1.00	-0.33	1.00	1.00	1.00	1.00	1.00	1.00	-0.33	9.67	64.44%	111
-0.33	-0.33	1.00	1.00	-0.33	1.00	1.00	-0.33	1.00	-0.33	-0.33	-0.33	-0.33	-0.33	1.00	3.00	20.00%	49
-0.33	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-0.33	-0.33	11.00	73.33%	60
-0.33	-0.33	1.00	1.00	1.00	-0.33	-0.33	1.00	1.00	1.00	-0.33	1.00	1.00	-0.33	-0.33	5.67	37.78%	35
-0.33	1.00	1.00	1.00	-0.33	1.00	1.00	1.00	1.00	-0.33	1.00	1.00	1.00	-0.33	0.00	8.67	57.78%	121
-0.33	-0.33	1.00	1.00	-0.33	-0.33	1.00	-0.33	-0.33	0.00	-0.33	1.00	1.00	-0.33	-0.33	2.00	13.33%	18
-0.33	-0.33	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	12.33	82.22%	24
1.00	1.00	1.00	1.00	1.00	1.00	-0.33	-0.33	-0.33	1.00	1.00	1.00	-0.33	-0.33	-0.33	7.00	46.67%	19
1.00	-0.33	-0.33	1.00	-0.33	-0.33	0.00	-0.33	0.00	0.00	-0.33	1.00	0.00	0.00	-0.33	0.67	4.44%	32
